competent	adj. 能胜任的，有能力的
formulation	n. 表述方式
nursery	n. 苗圃
deposition	n. 免职，罢免
confidential	adj. 秘密的；亲信的
superstition	n. 迷信，迷信行为
perplex	v. 迷惑，困惑，难住
bewilder	v. 迷惑，把…弄糊涂
snap	v. 猛咬；突然折断
hurl	v. 猛投；猛冲
jerk	v. 猛地一拉，急拉
ally	n. 盟国；同盟者，伙伴
threshold	n. 门槛；入门，开端
pore	n. 毛孔，气孔，细孔
fuss	n. 大惊小怪 v. 忙乱
vine	n. 蔓，藤，藤本植物
bull	n. 买空的证券投机商
wharf	n. 码头，停泊所
spiral	adj. 螺旋（形）的，盘旋的
nut	n. 螺帽，螺母
thesis	n. 论文；论题，论点
oval	adj. 卵形的 n. 卵形
reed	n. 芦笛，牧笛
monopoly	n. 垄断；独占，专利
bridle	n. 马笼头；马勒 v. 束缚；抑制
willow	n. 柳树，柳木
streamline	n. 流线；流线型
rascal	n. 流氓，恶棍，无赖
prevalent	adj. 流行的；盛行的
exile	v. 流放 n. 被流放者
flux	n. 流；涨潮；流量
gramophone	n. 留声机
province	n. 领域，范围，职权
consul	n. 领事
grove	n. 林子，小树林，园林
vicinity	n. 邻近；附近地区
fission	n. 裂开；分裂生殖
prey	n. 猎物 v. 捕获
martyr	n. 烈士，殉难者
grin	v. 咧着嘴笑
quantitative	adj. 量的；定量的
blush	v. 脸红，害臊 n. 脸红
allied	adj. 联合的；联姻的
ripple	n. 涟漪，细浪，波纹
mitten	n. 连指手套
junction	n. 连接点，汇合处
chestnut	n. 栗子；栗树；栗色
impose	v. 将（想法、信仰等）强加于（某人）
legislation	n. 立法；法规
intellect	n. 理智，智力，才智
courtesy	n. 礼貌，谦恭
excursion	n. （尤指集体）远足，短途旅行
grim	adj. 严厉的
prism	n. 棱镜；棱柱（体）
analogue	n. 类似物
flank	n. 肋，肋腹；侧面
sophisticated	adj. 老于世故的；高级的
flight	n. 溃退，逃跑
rapture	n. 狂喜，欢天喜地
fury	n. 狂怒，暴怒；猛烈
violent	adj. 狂暴的
furious	adj. 狂暴的；强烈的
rapidity	n. 快，迅速；陡，险峻
parade	v. 夸耀（才能等）
clasp	v. 扣住，扣紧，钩住
stammer	v. 口吃地说 n. 口吃
pneumatic	adj. 空气的；气动的
aerial	adj. 空气的；航空的
gnaw	v. 啃，咬断，啮
formidable	adj. 可怕的；难对付的
monstrous	adj. 极大的；可怕的
likelihood	n. 可能（性）
appreciable	adj. 可察觉的
whereby	adv. 靠什么；靠那个
ponder	v. 考虑，沉思
discern	v. 弄清楚，辨别；看出，辨出
fell	v. 砍倒（树等）；砍伐
carry	v. 刊登
inaugurate	v. 使就职；开始
commence	v. 开始；获得学位
reclaim	v. 开垦，开拓；回收
sheriff	n. 郡长
monarch	n. 君主，最高统治者
sovereign	n. 君主 adj. 统治的
bugle	n. 军号，喇叭
decisive	adj. 决定性的；果断的
winding	n. 蜿蜒曲折的路径 adj. 蜿蜒曲折的
reel	v. 卷，绕
mob	v. 团团围住（名人等）
sting	n. 剧痛；刺痛 v. 刺
repel	v. 使厌恶；拒绝
gigantic	adj. 巨大的；巨人似的
uphold	v. 维护
exemplify	v. 举例证明（解释）
administration	n. 局（或署、处等）
induction	n. 就职；归纳推理
symposium	n. 座谈会
whoever	pron. 究竟是谁
rectify	v. 纠正；调整
vein	n. 静脉，血管；矿脉
contend	v. 竞争；坚决主张
refinery	n. 精炼厂，提炼厂
vigorous	adj. 精力旺盛的，茁壮的
dismay	n. 惊慌，沮丧，灰心
empirical	adj. 经验主义的
inlet	n. 水湾；进口
perfection	n. 尽善尽美；无比精确
notwithstanding	prep. 尽管，虽然
prudent	adj. 谨慎的；精明的
compact	adj. 紧密的 v. 使紧凑
tuna	n. 金枪鱼
henceforth	adv. 今后，从今以后
presentation	n. 介绍；呈现
version	n. 解释
untie	v. 解开，松开；解放
dissolve	v. 解除（婚约等）
tuberculosis	n. 结核病，肺结核
incorporate	v. 结合，合并，收编
abbreviation	n. 节略，缩写，缩短
thrifty	adj. 节俭的
yeast	n. 酵母
doctrine	n. 教义，主义；学说
disillusion	v. 觉醒，使觉醒
coke	n. 焦炭
intercourse	n. 交际，往来，交流
parachute	n. 降落伞
degradation	n. 降级；退化；衰变
oar	n. 桨
discourse	n. 讲话，演说，讲道
inspector	n. 检查员；巡官
resolute	adj. 坚决的，果敢的
sturdy	adj. 牢固的；坚定的
persistence	n. 坚持；持续，存留
shrill	adj. 尖声的 v. 尖声地叫
sham	n. 假冒；膺品 v. 假装
beetle	n. 甲虫
clamp	v. 夹住，夹紧 n. 夹子
sandwich	v. 夹入，挤进
fowl	n. 家禽；禽肉
poultry	n. 家禽
bazaar	n. 集市，廉价商店
disorder	n. 疾病，小病
complaint	n. 疾病，病痛
forthcoming	adj. 即将到来的；现成的
polarity	n. （人、意见或观念的）截然相反，截然对立；极性
irritate	v. 激怒；引起不愉快
drastic	adj. 激烈的；严厉的
radical	adj. 基本的；激进的
witty	adj. 机智的；风趣的
tact	n. 机敏，圆滑，得体
ingenious	adj. 精巧制成的；机灵的
ingenuity	n. 机灵；设计新颖
stall	n. 货摊，书摊；马厩
piston	n. 活塞
vigour	n. 活力，精力；元气
mixer	n. 搅拌器
corrupt	v. 使腐化 adj. 腐败的
wield	v. 挥（剑）；行使
locust	n. 蝗虫
wasp	n. 黄蜂
desolate	adj. 荒芜的；孤独的
illusion	n. 幻想；错觉；假象
fossil	n. 化石
glider	n. 滑翔机；滑翔导弹
pulley	n. 滑轮，滑车，皮带轮
granite	adj. 花岗岩，花岗石
correlate	n. 互相关联的事物
walnut	n. 核桃；胡桃树
exclamation	n. 呼喊，惊叫；感叹
traverse	v. 横越
transverse	adj. 横的
monk	n. 和尚，僧侣，修道士
hinge	n. 合页，折叶，铰链
composite	adj. 合成的 n. 合成物
synthesis	n. 综合，综合物；（化学或生物学物质的）合成；（用电子方式对声音、语音或音乐的）合成
hurrah	int. 好哇，万岁，乌拉
hospitality	n. 好客，殷勤
howl	n. 嚎叫；哀号；吠
strait	n. 海峡
surplus	n. 过剩，剩余（物资）
excess	n. 过度行为，暴行
orchard	n. 果园
peel	n. 果皮，蔬菜皮
inland	adj. 国内的；内地的
boiler	n. 锅炉
regularity	n. 规则性；整齐，端正
provision	n. 规定，条款，条项
photoelectric	adj. 光电的
shrub	n. 灌木，灌木丛
orchestra	n. 管弦乐队
coffin	n. 棺材，灵柩
bureaucracy	n. 官僚主义；官僚机构
obstinate	adj. 固执的；顽强的
inherent	adj. 固有的，生来的
fixture	n. 固定设备
pluck	v. 鼓起（勇气），振作
agitation	n. 鼓动，煸动；搅动
thigh	n. 股，大腿
cereal	n. 谷类，五谷，禾谷
hound	n. 猎犬
gutter	n. 沟，边沟；檐槽
tribute	n. 献礼；贡物
commonwealth	n. 联邦
mercury	n. 汞，水银
consolidate	v. 巩固；合并
impartial	adj. 公正的，无偏见的
convention	n. 公约，（换俘等）协定
duke	n. 公爵；君主
implement	n. 工具 v. 贯彻
workpiece	n. 工（作）件
impart	v. 给予；传递；告诉
insulator	n. 隔离者；绝缘体
lattice	n. 格子结构
dove	n. 鸽子，斑鸠
plateau	n. 高原；平稳时期
lofty	adj. 高耸的；高尚的
elevation	n. 高度，海拔
intervene	v. 干涉，干预
sentiment	n. 感情；情绪
perception	n. 感知；理解力
generalize	v. 概括出
impress	v. 盖印，在…打记号
appendix	n. 附录；阑尾
incidentally	adv. 附带地；顺便提及
corrosion	n. 腐蚀，侵蚀；锈
erosion	n. 腐蚀，侵蚀；糜烂
subsidiary	adj. 辅助的，补充的
obedient	adj. 服从的，顺从的
obedience	n. 服从，顺从
veto	n. 否决，否决权；禁止
flatter	v. 奉承，阿谀，谄媚
seam	n. 缝口；接缝；骨缝
windmill	n. 风车
plump	adj. 丰满的
indignation	n. 愤怒，愤慨，义愤
shatter	v. 粉碎，破碎；毁坏
molecular	adj. 分子的；克分子的
offset	v. 抵销
installment	n. 分期付款
partition	n. 分开，分割；隔墙
diverge	v. 分岔；分歧
abolish	v. 废除，取消
aviation	n. 飞行（术）
indulge	v. 放纵（感情），纵情
herd	v. 成群；放牧
magnify	v. 放大，扩大
reproduce	v. 仿造
hamper	v. 妨碍，阻碍，牵制
handicap	v. 妨碍，使不利
handy	adj. 方便的；便于使用的
blunder	v. 犯大错 n. 大错
reactor	n. 反应堆
contradict	v. 反驳，否认
propagation	n. 繁殖；传播；蔓延
propagate	v. 传播，普及；繁殖
toss	v. 翻来覆去
decree	n. 法令，政令
flannel	n. 法兰绒
valve	n. 阀，阀门；电子管
outlet	n. 发泄（感情等）的方法
incidence	n. 发生率，影响；入射
invoice	n. 发票，发货清单
luminous	adj. 发光的；夜明的
beam	v. 发光，发热；开怀大笑
dynamo	n. 发电机
rattle	v. 发出格格声
whereas	conj. 而，却，反之
offspring	n. 儿女，子孙，后代
malice	n. 恶意；蓄意犯罪
spite	n. 恶意，怨恨
yoke	n. 轭，牛轭；枷锁
deprive	v. 夺去；使（人）失去
stew	v. 炖 n. 炖菜
mop	n. 拖把，墩布；洗碗刷
halve	v. 对分；平摊
symmetrical	adj. 对称的，匀称的
symmetry	n. 对称（性），匀称
provoke	v. 对…挑衅；激发
resent	v. 对…不满，怨恨
alignment	n. 排成直线；结盟，联合
assert	v. 断言，宣称；维护
affirm	v. 断言，证实
cuckoo	n. 杜鹃，布谷鸟
gamble	n. 赌博 v. 冒…的险
dictator	n. 独裁者，专政者
linger	v. 逗留，徘徊；拖延
tease	v. 逗乐，戏弄
cavity	n. 洞，穴，空腔
disturbance	n. 动乱；干扰
theorem	n. 定理；原理，原则
capacitor	n. 电容器
capacitance	n. 电容，电容量
electrode	n. 电极；电焊条
telex	n. 电传，用户电报
kindle	v. 点燃，着火
magistrate	n. 地方法官
mortgage	n. 抵押贷款 v. 抵押
equivalent	adj. 等面（体）积的
enroll	v. 登记，招收，参军
burner	n. 煤气头
clatter	n. 得得声，卡嗒声
yolk	n. 蛋黄，卵黄
cartridge	n. 弹药筒
detain	v. 扣押，拘留；耽搁
simplicity	n. 单纯，质朴
jug	n. 带柄水罐，大壶
attorney	n. 代理人；辩护律师
deputy	n. 代理人 adj. 副的
delegate	n. 代表，委员，特派员
magnitude	n. 重大；星等
massacre	n. 大屠杀，残杀
stride	v. 大踏步走 n. 大步
multitude	n. 大批，大群；大量
barley	n. 大麦
prairie	n. 大草原，牧场
snore	v. 打鼾，打呼噜
thresh	v. 打谷，脱粒
latent	adj. 存在但看不见的
frail	adj. 脆弱的
catalyst	n. 催化剂；刺激因素
vulgar	adj. 粗俗的，庸俗的
overflow	v. 从…中溢出
prick	v. 刺（穿） n. 刺痛
thereafter	adv. 此后，以后
porcelain	n. 瓷 adj. 瓷的，瓷制的
glossary	n. 词汇表；术语汇编
stem	n. 词干
lipstick	n. 唇膏，口红
sheer	adj. 纯粹的；全然的
perpendicular	adj. 垂直的
initiative	n. 倡议；新方案
puff	v. 喘气；喷（烟等）
shipwreck	n. 船舶失事
herald	n. 传令官；通报者
leaflet	n. 传单
convey	v. 传达；传播；转让
penetration	n. 穿入；渗透
transaction	n. 交易；处理
penalty	n. 处罚，刑罚，罚款
scandal	n. 丑事，丑闻；耻辱
strife	n. 冲突，竞争
proceeding	n. 程序，行动，事项
acknowledge	v. 承认；告知收到
integrity	n. 诚实，正直
commend	v. 称赞，表扬；推荐
brood	v. 沉思，郁闭地沉思
muse	v. 沉思，默想，冥想
meditate	v. 沉思；冥想
immerse	v. 沉浸；给…施洗礼
repeal	v. 撤销
lathe	n. 车床 v. 用车床加工
row	n. 吵架，口角
supersonic	adj. 超声的，超声速的
ultrasonic	adj. 超声的 n. 超声波
surpass	v. 超过，超越，胜过
spectacle	n. 场面，景象；奇观
shovel	n. 铲，铁铲 v. 铲
toad	n. 蟾蜍，癞蛤蟆
errand	n. 差使，差事
ascertain	vt. 查明，确定，弄清
tactics	n. 战术，兵法
grassy	adj. 草多的
groove	n. 槽
manipulate	v. 操作；操纵，控制
hatch	v. 策划；密谋
cruelty	n. 残酷；残酷行为
senator	n. 参议员
parameter	n. 参（变）数；参量
recipe	n. 菜谱，烹饪法
substance	n. 内容，本旨；财产
sermon	n. 布道，讲道；说教
immortal	adj. 不朽的；永生的
wretched	adj. 不幸的
incompatible	adj. 不相容的
stuffy	adj. 不透气的，闷热的
opaque	adj. 不透明的
watertight	adj. 不漏水的，防水的
inevitably	adv. 不可避免地
irrespective	adj. 不考虑的，不顾的
undesirable	adj. 不合需要的；讨厌的
absurd	adj. 不合理的，荒唐的
disregard	v. 不管，不顾 n. 忽视
impurity	n. 杂质；不纯
inadequate	adj. 不充足的，不适当的
invariably	adv. 不变地，永恒地
uneasy	adj. 不安的；拘束的
supplement	n. 补角
complement	v. 补充 n. 补足（物）
compensation	n. 补偿，赔偿，赔偿费
humanitarian	adj. 博爱的 n. 慈善家
barge	n. 驳船；大型游船
fluctuation	n. 波动
fluctuate	v. 波动，使波动
invalid	n. 病人
ward	n. 病房，病室；监房
villa	n. 别墅
characterize	v. 表现…的特性
signify	v. 表示，意味着
manifest	v. 表明 adj. 明显的
seemingly	adv. 表面上，外表上
criterion	n. 标准，准则，尺度
norm	n. 标准，规范；平均数
alteration	n. 变更，改变
verge	n. 边缘，边界
rim	n. 边；边缘，（眼镜）框
hearth	n. 壁炉地面；炉边
fireplace	n. 壁炉
patron	n. 庇护人；赞助人
indispensable	adj. 必不可少的，必需的
sullen	adj. 绷着脸不高兴的
captive	adj. 被俘虏的
deviation	n. 背离，偏离；偏差
storm	n. 爆发 v. 猛攻
tyranny	n. 暴政，专制；残暴
wrath	n. 暴怒，狂怒，愤慨
tyrant	n. 暴君；专制君主
panther	n. 豹，黑豹；美洲狮
leopard	n. 豹
grumble	v. 抱怨，发牢骚
vengeance	n. 报复，报仇，复仇
assurance	n. 保证
fuse	n. 保险丝；导火线
reservation	n. 预定，预订；保留意见
safeguard	n. 保护措施
preservation	n. 保存，储藏；保持
scar	n. 瘢痕
liner	n. 班船，定期班机
tar	n. 柏油；焦油
blind	n. 百叶窗；窗帘；遮帘
tabulate	v. 把…制成表
bestow	v. 把…赠与
subdivide	v. 把…再分
dock	v. 把…引入船坞
flatten	v. 把…弄平；击倒
ascribe	v. 把…归于
entitle	v. 把…称作
haughty	adj. 傲慢的，轻蔑的
foul	adj. 肮脏的；丑恶的
assassinate	v. 暗杀，行刺；中伤
dwarf	n. 矮子，侏儒
stout	adj. 肥胖的；厚实牢固的
alas	int. 唉，哎呀
referee	n. （足球等）裁判员
discrete	adj. 分离的， 不相关联的
municipal	adj. 市的， 市政的
illusion	n. 幻想， 错误的观念； 错觉， 幻觉， 假象
eccentric	adj. 古怪的，怪癖的，异乎寻常的 n. 古怪的人， 怪癖的人
discharge	v. 释放，排出；卸货 n. 释放， 放电
contrive	vt. 谋划， 策划； 设法做到； 设计， 想出
confront	vt. 迎面遇到， 遭遇； 勇敢地面对， 正视； 使对质， 使当面对证
aerial	adj. 飞机的，航空的；空中的，架空的 n. 天线
implement	vt. 使生效， 履行， 实施 n. 工具， 器具， 用具
cradle	n. 摇篮；策源地，发源地 vt. 轻轻地抱， 捧
robust	adj. 强壮的， 健康的
collision	n. 碰撞； 冲突， 抵触
dismay	n. 失望，气馁；惊恐 vt. 使失望， 使气馁； 使惊恐
discern	vt. 看出， 察觉出； 识别， 认出
infectious	adj. 传染的， 有传染性的； 有感染力的
parameter	n. 界限， 范围； 参数
brisk	adj. 轻快的， 生气勃勃的； 兴隆的， 繁忙活跃的； 寒冷而清新的
frock	n. （女）连衣裙
