consistent	adj. 一致的
systematically	adv. 系统地，有规则地
spectrum	n. 系列，范围；波谱
lace	v. 系带，用带子束紧
tape	v. 系，捆
drama	n. 戏剧性事件；戏剧性
theatre	n. 剧场，戏院
comedy	n. 喜剧；喜剧场面
usage	n. 习惯用法
extinguish	v. 熄灭，扑灭；消灭
intake	n. 吸入；输入能量
physically	adv. 身体上；体格上
body	n. 物体
ignorance	n. 无知，无学，愚昧
insignificant	adj. 无意义的；低微的
doubtless	adv. 无疑地；很可能
infinitely	adv. 无限地，无边地
unlimited	adj. 无限的；不定的
infinite	n. 无限；无穷（大）
fearless	adj. 无畏的，大胆的
inorganic	adj. 无生物的；无机的
incapable	adj. 无能力的；无资格的
unique	adj. 无可匹敌的；极好的
faultless	adj. 无过失的；无缺点的
foreign	adj. 外国的，国外的
snail	n. 蜗牛；行动缓慢的人
question	v. 问，询问，讯问
literal	adj. 文字（上）的；字面的
softness	n. 温和，柔和；软弱
bachelor	n. 未婚男子；学士
unpaid	adj. 未付的；无偿的
commission	n. 委托，委任；委托状
latitude	n. 纬度；黄纬
vitamin	n. 维生素，维他命
idealism	n. 唯心主义；理想主义
violate	v. 违犯，违背；侵犯
towards	prep. 用于，有助于
catalogue	v. 为…编目录
microprocessor	n. 微信息处理机
subtle	adj. 微妙的；精巧的
atom	n. 原子
microwave	n. 微波
awful	adj. 威严的；令人崇敬的
endanger	v. 危及，危害
crisis	n. 危机；转折点
dismiss	v. 解雇，开除
network	n. 网络；广播网
web	n. 网，网状物
stubborn	adj. 顽固的；顽强的
diplomatic	adj. 外交的；有策略的
alien	adj. 外国的 n. 外国人
strange	adj. 陌生的，不熟悉的
twist	v. 歪曲，曲解
watt	n. 瓦（特）
hip	n. 臀部，髋
retirement	n. 退休，引退；退隐
drawback	n. 妨碍；弊端
inference	n. 推论；推断的结果
rational	adj. 合理的；适度的
recommendation	n. 推荐，介绍；建议
overthrow	v. 推翻 n. 推翻，瓦解
gather	v. 推测，推断
solidarity	n. 团结；休戚相关
bandit	n. 土匪，盗匪，歹徒
bald	adj. 秃头的；无毛的
projector	n. 投影仪；探照灯
poll	n. 投票 v. 对…进行民意测验（调查）
dizzy	adj. 头晕眼花的，眩晕的
steal	v. 偷偷地做，窃取
dominant	adj. 统治的 n. 主因
dominate	v. 统治，支配，控制
statistics	n. 统计，统计数字
even	adj. 平稳的，均匀的
identical	adj. 同一的；恒等的
likeness	n. 同样；类似，相似
homogeneous	adj. 同类的
coordinate	adj. 同等的
notify	v. 通知，告知；报告
advertise	v. 登广告
popularity	n. 通俗性；普及，流行
inflation	n. 通货膨胀，物价飞涨
currency	n. 通货；货币
entry	n. 入口，通道；条目
customary	adj. 通常的；照惯例的
ordinarily	adv. 通常，大概
hydrocarbon	n. 烃，碳氢化合物
skip	v. 蹦跳着走；跳绳；略过
overlook	v. 眺望；看漏；宽容
regulate	v. 调整，调节，校准
settlement	n. 调停；（尤指拓荒者居住的）定居点，村落
sweetness	n. 甜蜜，芬芳；愉悦，美好
dessert	n. 甜点心
astronomy	n. 天文学
theme	n. 题目；主题；主旋律；（句子的）主位；词干
nominate	v. 提名，推荐；任命
finance	v. 提供资金
enhance	v. 提高，增加；改进
elevate	v. 提拔；抬高
purify	v. 提纯，精炼（金属）
raise	v. 提出，发起，发出
introduce	v. 提出（议案等）
individual	adj. 特殊的
essential	adj. 极其重要的；必不可少的
bore	n. 讨厌的人；麻烦事
flee	v. 逃走，逃避
expedition	n. 探险；探险队
plain	adj. 坦白的；普通的
negotiate	v. 谈判，交涉，议定
greed	n. 贪心，贪婪
detail	n. 琐碎，小事
concern	n. 所关切的事；商行
hurt	n. （对感情造成的）伤害，创伤
random	n. 随机 adj. 随机的
garlic	n. 蒜，大蒜
plastic	adj. 塑料的；塑性的
laundry	n. 送洗衣店去洗的东西
replace	v. 把...放回原处
loosely	adv. 松松地，松散地
rip	v. 撕，扯破，划破
smuggle	v. 私运，走私
observe	v. 说，评述，评论
momentary	adj. 瞬息间的，片刻的
instantaneous	adj. 瞬间的，即刻的
couch	n. 睡椅，长沙发椅
watery	adj. 充满水的；与水有关的；湿的；（食物、饮料等）味淡的
wrestle	n. 摔交；斗争，搏斗
numerical	adj. 数字的，数值的
erect	adj. 直立的
input	v. 输入 n. 输入
handbook	n. 手册，便览，指南
adoption	n. 收养；采纳，采取
revenue	n. 收入；收入数目
indoor	adj. 室内的；室内进行的
moderately	adv. 适度地，适中
fitness	n. 适当，恰当；健康
vision	n. 视力；眼力，想象力
occurrence	n. 发生的事
influence	n. 势力，权势
automate	v. 使自动化
specialize	v. 使专门化，专业化
hazard	v. 使遭危险 n. 危险
standardize	v. 使与标准比较
lengthen	v. 使延长，变长
shame	v. 使羞愧；玷辱
freshen	v. 使显得新鲜
distinguish	v. 使显出特色，使杰出
ventilate	v. 使通风，使换气
perfect	v. 使熟练，使改善
infect	v. 使受影响
soften	v. 使软化，变温和
facilitate	v. 使容易；助长
acquaint	v. 使认识，使了解
tiresome	adj. 使人厌倦的，讨厌的
sorrowful	adj. 使人伤心的；悲伤的
blaze	v. 使燃烧，燃烧
bend	v. 使屈从，屈从
suit	v. 使配合，彼此协调
confront	v. 使面对；使对证
paralyse	v. 使麻痹，使瘫痪
deafen	v. 使聋
subject	v. 使隶属
terrify	v. 使恐怖，使惊吓
integrate	v. 使结合，使并入
alternate	v. 使交替 adj. 交替的
degrade	v. 使降低；使堕落
minimize	v. 使减到最小
interconnect	v. 使互相联系
oblige	v. 使感激；施恩惠于
enrich	v. 使富裕；使丰富
contrast	v. 使对比；形成对比
mature	v. 使成熟，成熟
ice	v. 使成冰，结冰
overload	v. 使超载
sweeten	v. 使变甜，变甜
thicken	v. 使变厚（或粗、密）
establish	v. 使…被接受
jog	v. 慢跑（尤作为锻炼）
vector	n. 矢量；飞机航线
experimentally	adv. 实验上，实验性地
experimentation	n. 实验；试验
virtual	adj. 实际上的，实质上的
execution	n. 实行，执行；处死刑
quartz	n. 石英
humidity	n. 湿气；湿度
unemployment	n. 失业；失业人数
remainder	n. 剩余（物）；余数
ecology	n. 生态学；个体生态学
hide	n. 生皮，兽皮，皮革
vital	adj. 生命的，生机的
producer	n. 生产者；舞台监督
productivity	n. 生产率；多产
productive	adj. 生产的；出产…的
kidney	n. 肾，腰子
deliberately	adv. 故意地；审慎地
mystery	n. 神秘小说，侦探小说
deliberate	adj. 深思熟虑的；审慎的
profound	adj. 见解深刻的；渊博的
photography	n. 摄影术
sociology	n. 社会学
reject	v. 舍弃，抛弃；排斥
maid	n. 少女；处女
maiden	n. 少女，未婚女子
context	n. 上下文；来龙去脉
Heaven	n. 上帝，神
trader	n. 商人
dealer	n. 商人；毒品贩；发牌者
blue	adj. 伤心的；下流的
underwear	n. 衫衣，内衣，贴身衣
cancel	v. 取消
gap	n. 差距；山口，山峡
shark	n. 鲨鱼；诈骗钱财者
gravel	n. 砂跞；砂砾层；结石
tone	n. 色调，光度
scan	n. 扫描
emission	n. 散发；传播；发出物
triangular	adj. 三角的；三者间的
choice	n. 入选者 adj. 优等的
tolerant	adj. 容忍的；有耐力的
routine	adj. 日常的 n. 常规
awake	v. 认识到
recognition	n. 认出，识别
identification	n. 身份证；认出，鉴定
merciful	adj. 仁慈的，宽大的
hostage	n. 人质
humanity	n. 人类；人性，人情
personality	n. 人格，个性；名人
tropic	n. 回归线；热带地区
tropical	adj. 热带的；（天气）湿热的
flock	v. 群集，聚集
conviction	n. 确信，信服，深信
certainty	n. 确实性，确信，确实
positively	adv. 确定的，断然
quantify	v. 确定…的数量
flaw	n. 缺点，瑕疵
claim	n. 权利，所有权
extract	v. 取出；提取 n. 摘录
spherical	adj. 球形的，球面的
global	adj. 全球的
Jupiter	n. 木星；丘庇特
sight	n. 景象；名胜，风景
cleanliness	n. 清洁
bronze	n. 青铜色
admiration	n. 钦佩；赞美，羡慕
section	n. 部分
mighty	adj. 强大的；巨大的
thoughtless	adj. 欠考虑的；自私的
lobby	n. 前厅，（剧院的）门廊
visa	n. 签证
migrate	v. 迁移，移居
kilowatt	n. 千瓦（特）
maple	n. 槭树，枫树
follower	n. 信徒，追随者
motel	n. 汽车游客旅馆
garage	n. 汽车修理站
scratch	n. （某人皮肤上的）划痕，划伤
knight	n. 骑士，武士；爵士
marvel	n. 奇迹；惊奇 v. 惊奇
subsequently	adv. 其后，其次，接着
cheat	n. 欺诈；骗取
currently	adv. 当前
universally	adv. 普遍地，一般地
destructive	adj. 破坏（性）的，危害的
terrace	n. 平台，阳台，露台
civilian	n. 平民 adj. 平民的
equation	n. 平衡；反应式
frequency	n. 频繁，屡次；频率
barren	adj. 贫瘠的；不孕的
float	n. 漂浮物；浮标，木筏
prejudice	n. 偏见，成见；损害
cape	n. 披肩，斗篷；海角
ingredient	n. 配料，成分
battery	n. 炮组，排炮
range	v. 排列
clap	n. 拍手喝采声；霹雳声
ohm	n. 欧姆
hostess	n. 女主人；旅馆女老板
feminine	adj. 女性的；女子气的
waitress	n. 女侍者，女服务员
goddess	n. 女神
blouse	n. 女衬衫；罩衫
mess	v. 弄脏，弄乱，搞糟
shorten	v. 弄短，缩小，减少
milky	adj. 牛奶的；乳白色的
peer	v. 凝视
junior	n. 年少者；晚辈
annually	adv. 年年，每年
practicable	adj. 能实行的；适用的
capability	n. 能力，才能
interior	n. 内部 adj. 内部的
incredible	adj. 难以置信的，惊人的
difficult	adj. 难以满足的
pumpkin	n. 南瓜
polar	adj. 南（北）极的；极性的
masculine	adj. 男性的
sodium	n. 钠
end	n. 目标，目的
magician	n. 魔法师；变戏法的人
skyscraper	n. 摩天楼
module	n. 模块；组件
ambiguous	adj. 模棱两可的；分歧的
feel	v. 摸起来
doom	n. 厄运，毁灭 v. 注定
bid	v. 报价；命令
sensible	adj. 明显的，感觉得到的
decidedly	adv. 明确地，坚决地
brightness	n. 明亮，辉煌，聪明
classic	n. 名著 adj. 不朽的
promptly	adv. 敏捷地，迅速地
sensitivity	n. 敏感（性）；灵敏性
representation	n. 描写；陈述；代表
enchant	v. 迷住；用魔法迷惑
fascinate	v. 迷住，迷人
stray	v. 迷路 adj. 迷路的
charm	n. 魅力；妩媚 v. 迷人
fair	adj. 美丽的
offensive	adj. 冒犯的；进攻的
cartoon	n. 动画片；漫画
expire	v. 满期，到期；断气
circus	n. 马戏；马戏团
filter	v. 滤过
ass	n. 傻瓜，蠢笨的人；驴
propeller	n. 螺旋桨，推进器
Roman	n. 古罗马人；罗马人
forum	n. 论坛，讨论会
video	adj. 录像的
leakage	n. 漏，泄漏；漏出物
hug	v. 搂 n. 紧紧拥抱
stairway	n. 楼梯
track	v. 留下足迹
otherwise	adv. 另外；在其他方面
retail	n. 零售
flexible	adj. 灵活的，可变通的
inspiration	n. 灵感；妙想；鼓舞
neighbouring	adj. 邻近的，接壤的
expect	v. 料想，认为
attachment	n. 爱慕；附件；连接物
exceptional	adj. 优越的；例外的
solar	adj. 利用太阳光的
utilization	n. 利用，效用
stereo	n. 立体声 adj. 立体声的
cubic	adj. 立方体的；立方的
historian	n. 历史学家；编史家
historic	adj. 历史的；历史性的
mechanics	n. 力学，机械学
ideally	adv. 理想地；理论上
abstract	adj. 理论上的 n. 抽象派作品
slang	n. 俚语；行话，黑话
twilight	n. 黄昏
ion	n. 离子
troublesome	adj. 困难的
similarity	n. 类似，相似；类似点
comprehend	v. 了解，理解，领会
optimism	n. 乐观，乐观主义
straightforward	adj. 老实的，坦率的
wasteful	adj. 浪费的
idleness	n. 懒惰；赋闲无事
shabby	adj. 破旧的；褴褛的
dust	n. 灰尘
satisfaction	n. 满足，愉快
snack	n. 快餐，小吃
pants	n. 裤子；男用短衬裤
bitterness	n. 苦味，辛酸，苦难
wither	v. 枯萎；使衰弱
fastener	n. 扣件，钮扣，揿钮
panic	n. 恐慌，惊慌
terrorist	n. 恐怖分子
peacock	n. 孔雀
fantastic	adj. 空想的；奇异的
spatial	adj. 空间的，占据空间的
void	adj. 无效的；空的
longing	n. 渴望 adj. 显示渴望的
suspicious	adj. 可疑的；猜疑的
shady	adj. 可疑的，靠不住的
questionable	adj. 可疑的，不可靠的
portable	adj. 可移动的
grateful	adj. 感谢的，感激的
adjustable	adj. 可调整的，可校准的
frightful	adj. 可怕的；讨厌的
dreadful	adj. 可怕的；令人畏惧的
possibility	n. 可能的事
respectable	adj. 可敬的；人格高尚的
shameful	adj. 可耻的；不道德的
comparable	adj. 可比较的；类似的
particular	adj. 特称的；苛求的
exploration	n. 考察；勘探；探查
generosity	n. 慷慨，宽宏大量
initiate	v. 开始，创始；启蒙
evolution	n. 进化
start	v. 开动，着手；开设
unlock	v. 开…的锁；开启
extinct	adj. 绝种的
govern	v. 决定，支配；控制
curly	adj. 卷曲的；有卷毛的
polymer	n. 聚合物，多聚物
hurricane	n. 飓风，十二级风
rectangle	n. 矩形，长方形
reside	v. 居住，驻扎；属于
dwell	v. 居住；凝思，细想
Christ	n. 救世主（耶稣基督）
competitor	n. 竞争者，敌手
competitive	adj. 竞争的，比赛的
alert	adj. 警惕的
warning	n. 警告，告诫，鉴诫
whale	n. 鲸
selection	n. 选择；精选的东西
thorough	adj. 精心的；详尽的
finely	adv. 精细地；美好地
literary	adj. 文学的
fright	n. 惊吓，恐怖
astonishment	n. 惊奇，惊讶
longitude	n. 经线，经度
support	v. 经受，承受
economics	n. 经济学；经济
prohibition	n. 禁止；禁令，禁律
shortcut	n. 近路；捷径
tightly	adv. 紧地，牢固地
barely	adv. 勉强；仅仅
metallic	adj. 金属的
mustard	n. 芥子，芥末
interpret	v. 口译；解释
tackle	v. 解决，对付 n. 用具
construction	n. 建筑结构
economically	adv. 在经济上；节约地
interview	v. 接见，会见，会谈
receiver	n. 接待者；收受者
tutor	v. 教，指导
horn	n. 角状物；喇叭形物
reef	n. 礁，礁石，暗礁
symphony	n. 交响乐；交响乐团
soy	n. 大豆，黄豆；酱油
ginger	n. 姜，生姜
splash	v. 溅泼；泼水 n. 溅泼声
architect	n. 建筑师；创造者
theory	n. （未证明的）见解，看法，推测
clip	v. 剪；剪辑报刊
reserve	n. 缄默，自我克制
challenge	n. 艰巨任务
diminish	v. 减少，减小
lessen	v. 减少，变少
enterprise	n. 艰巨的事业；事业心
firmness	n. 坚固，坚定，稳固
steady	adj. 稳定的，扎实的
stability	n. 稳定
insistent	adj. 坚持的
persevere	v. 坚持，不屈不挠
bridge	v. 架桥于，用桥连接
rate	n. 价格 v. 对…评定
hypothesis	n. 假设；前提
fake	n. 假货，膺品 adj. 假的
presume	v. 假定，假设，揣测
homely	adj. 家常的
heater	n. 加热器
deepen	vt. （使色泽等）加浓
heighten	v. 加高，提高；增加
line	v. 加衬里于
stillness	n. 寂静，无声
lodging	n. 寄宿，住宿；住所
successor	n. 继承人，继任者
succession	n. 继承（权）
quarterly	adj&adv. 季度的（地）
craft	n. 技巧
souvenir	n. 纪念品
documentary	adj. 纪录的；文献的
marginal	adj. 边缘的；记在页边的
terminal	n. 计算机终端；线接头
scheme	v. 计划，搞阴谋
geometrical	adj. 几何学的
gathering	n. 集会，聚会，聚集
set	n. 集（合）
extreme	n. 极端不同的性质
guitar	n. 吉他，六弦琴
timely	adj. 及时的；适时的
severe	adj. 艰难的；简朴的
Christian	adj. 基督教的
elemental	adj. 基本的；自然力的
ultimate	adj. 首要的；基本的
energetic	adj. 积极的；精力旺盛的
muscular	adj. 肌肉发达的，强健的
mechanism	n. 机械装置；机制
framework	n. 体制
fence	n. 击剑（术），击剑
fellowship	n. 伙伴关系；联谊会
Mars	n. 火星
ham	n. 火腿
cloudy	adj. 混浊的；模糊不清的
engagement	n. 婚约；约会
bribe	n. 贿赂 v. 向…行贿
response	n. 回应
badge	n. 徽章，像章；标志
royalty	n. 皇家，王族，皇族
modification	n. 修改
environmental	adj. 环境的，环境产生的
pregnant	adj. 怀孕的；意义深长的；意义深长的
slide	n. 滑动，滑行
arc	n. 弧，弓形物；弧光
outcome	n. 后果，成果
ruby	n. 红宝石
hit	n. 轰动一时的人（或事）
bed	n. 河床，（湖）底
harmonious	adj. 和谐的，协调的
cooperative	adj. 合作的 n. 合作社
proper	adj. 合乎体统的，正派的
applause	n. 喝彩；夸奖，称赞
applaud	v. 鼓掌；喝彩
pal	n. 好朋友；同谋
romantic	adj. 好幻想的
aerospace	n. 航空航天工业
log	n. 航海日志；飞行日志
pedestrian	n. 行人，步行者
move	n. 行动，步骤
hesitate	v. 犹豫；迟疑不决
pest	n. 害虫
turtle	n. 海龟，玳瑁
custom	n. 海关
seaport	n. 海港，港口，港市
cable	n. 电缆
pirate	n. 海盗
seaside	n. 海滨（胜地）；海边
overestimate	v. 过高估计
excessively	adv. 过分，极端地
stone	n. 果核，（水果的）硬核
slap	v. 掴 n. 巴掌
roller	n. 滚筒；滚柱
valuable	n. 贵重物品，财宝
salmon	n. 鲑，大马哈鱼
silicon	n. 硅（旧名矽）
regulation	n. 规章，规则
define	v. 规定；立（界限）
replacement	n. 取代；置换
spacious	adj. 广阔的，广大的
amplitude	n. 振幅；广大；充足
radial	adj. 放射状的
optical	adj. 光的；光学的
irrigation	n. 灌溉；（医）冲洗法
inertia	n. 惯性；无力
blast	n. 管乐器的声音
pipe	n. 管乐器
monster	n. 怪物；畸形的动植物
client	n. 顾客；诉讼委托人
skeleton	n. 骨骼，骷髅；骨架
antique	adj. 古代的 n. 古物
assessment	n. 估定；查定
constitute	v. 构成，组成
number	v. 共计，达…之数
arch	n. 拱门 v. （使）拱起
vault	n. 拱顶；（教堂的）地下墓室
rooster	n. 公鸡
studio	n. 播音室；工作室
earnings	n. 工资，收入；收益
combat	v. 跟…战斗，格斗
energize	v. 供给…能量
vaccinate	v. 给…接种疫苗
flavour	v. 给…调味
reveal	v. 告诉，揭示，泄露
tower	v. 高耸，屹立；翱翔
dry	adj. 干巴巴的，枯燥的
olive	n. 橄榄；橄榄树
sensation	n. 感觉，知觉；轰动
Thanksgiving	n. 感恩节
chill	v. 感到寒冷；冷藏
outline	v. 概述，概括
notion	n. 概念；看法
conception	n. 概念，观念，想法
summary	adj. 概括的；速决的
mend	v. 修理；改正
duplicate	n. 复制品 v. 复制
complication	n. 复杂，混乱；并发症
complexity	n. 复杂（性）
satellite	n. 附属国
extra	n. 附加物；额外的东西
charge	n. 负荷；充电 v. 装满
negative	adj. 负的；（结果）阴性的
coach	v. 指导，训练；辅导
answer	v. 符合，适合
emerge	v. 浮现，出现；显露
maintenance	n. 扶养费；维持
denial	n. 否定；拒绝相信
Buddhism	n. 佛教，释教
dedicate	v. 奉献；献身
pineapple	n. 凤梨，波萝
landscape	n. 风景，景色，景致
abundance	n. 丰富，充裕
limb	n. 肢；手臂；腿
fraction	n. 分数
distract	v. 分散（心思）；打扰
split	n. 分裂，分化，派系
detach	v. 分开；派遣（军队）
interface	n. 分界面
relay	v. 分程传递；使接替；转播
litter	n. 废物；杂乱 v. 乱扔
gangster	n. 匪徒，歹徒，暴徒
extraordinarily	adv. 非常地，特别地
fly	v. 飞跑；逃跑，消失
imitation	n. 仿制品，伪制物
pattern	v. 仿制，仿造，模仿
estate	n. 财产，产业；房地产
offence	n. 犯罪，犯规；冒犯
mirror	n. 反映，借鉴
echo	v. 回响
contrary	n. 反对命题
originate	v. 发源；首创
spokesman	n. 发言人，代言人
generate	v. 发生，产生；生成
detector	n. 发觉者，探测器
flame	v. 燃烧
exert	v. 发挥（威力），施加
motive	adj. 发动的，运动的
dioxide	n. 二氧化物
bait	n. 饵；引诱物
subsequent	adj. 尔后的
youngster	n. 儿童，少年，年轻人
nightmare	n. 恶梦；经常的恐惧
mountainous	adj. 多山的；山一般的
windy	adj. 多风的，刮风的
versatile	adj. 多方面的；通用的
shortage	n. 短缺，不足额
ferry	n. 渡船 v. 运送
jealousy	n. 妒忌，嫉妒，猜忌
jam	n. 堵塞 v. 使…堵塞
distinct	adj. 清楚的
solo	n. 独唱，独奏；独唱曲
fighter	n. 战斗机；斗争者
champion	n. 斗士；提倡者
insight	n. 洞察力；洞悉，见识
jelly	n. 冻，果冻；胶状物
mobilize	v. 动员，动员起来
grease	n. 动物脂，脂肪
kinetic	adj. 动力（学）的；活动的
orient	n. 东方；亚洲，远东
location	n. 定位，测位
subscribe	v. 订购；认购；预订
summit	n. 顶点，最高点；极度
sculpture	n. 雕刻品；雕刻（术）
electronics	n. 电子学
pressure	n. 大气压力
electrician	n. 电工，电气技师
geology	n. 地质学；（某地）地质
basement	n. 地下室；地窖；底层
geographical	adj. 地理的；地区（性）的
hostile	adj. 敌对的；不友好的
whisper	v. 低声地讲；私下说
underestimate	v. 低估，看轻
murmur	n. 低沉连续的声音
triumphant	adj. 得胜的；得意洋洋的
morality	n. 道德，美德，品行
theft	n. 盗窃，偷窃（行为）
attendance	n. 到场；出席人数
between	adv. 当中，中间
simple	adj. 单纯的；迟钝的
fill	v. 担任（职务）；填补
algebra	n. 代数学
representative	adj. 代表性的；代议制的
gorilla	n. 大猩猩
embassy	n. 大使馆；大使的职务
ambassador	n. 大使，使节
mansion	n. 大厦，大楼；宅第
continental	adj. 大陆的，大陆性的
infinity	n. 无穷大
steak	n. 大块牛肉；牛排
butt	n. 大酒桶，桶
largely	adv. 主要地
widely	adv. 大大地
smash	v. 打碎，打破，粉碎
sneeze	v. 打喷嚏
lighter	n. 打火机，引燃器
forge	v. 打（铁等），锻造
passport	n. 达到目的的手段
inaccessible	adj. 达不到的，难接近的
frustrate	v. 挫败
fragile	adj. 脆弱的；体质弱的
crisp	adj. 脆的
promotion	n. 促进；提升
reckless	adj. 粗心大意的；鲁莽的
massive	adj. 粗大的；大而重的
harsh	adj. 粗糙的；严厉的
jungle	n. 丛林，密林，莽丛
follow	v. 从事（职业），经营
smart	v. 刺疼，扎疼，剧痛
magnetism	n. 磁；魅力
initial	adj. 词首的
vocabulary	n. 词汇表，词汇汇编
poke	v. 戳，刺；伸（头等）
stainless	adj. 不锈的；纯洁的
author	n. 创造者，创始人
innovation	n. 创新，改革；新设施
report	n. 传说，议论
infectious	adj. 传染的；感染性的
romance	n. 传奇；浪漫文学
missionary	n. 传教士
sensor	n. 传感器，灵敏元件
circular	n. 传单，通报，通函
pierce	v. 穿透，戳穿
antenna	n. 触角；天线
virgin	n. 处女 adj. 处女的
exclusive	adj. 除外的
notorious	adj. 臭名昭著的
specimen	n. 抽样，样品
extraction	n. 抽出；提取法
adore	v. 崇拜，爱慕；很喜欢
worship	v. 崇拜；做礼拜
bug	n. 虫子；臭虫
punch	v. 打孔 n. 冲压机
equator	n. 赤道，天球赤道
gear	n. 齿轮，传动装置
persist	v. 持续，存留
breakfast	v. 吃早餐
dine	v. 吃饭
length	n. 长度
shoulder	v. 承担；挑起
offer	v. 出现
membership	n. 成员资格；会员人数
systematic	adj. 成体系的
kit	n. 成套工具；用具包
hush	n. 沉默 int. 嘘！
mock	v. 嘲弄，挖苦
reign	n. （某君主的）统治时期
nickname	n. 绰号，诨号
waggon	n. 敞蓬车厢
resident	n. 常住者
haunt	v. （鬼魂）经常出没
visit	v. 拜访
frequent	adj. 常见的；频繁的
diesel	n. 柴油发动机，内燃机
horizon	n. 地平线
herb	n. 草本植物；香草
warehouse	n. 仓库，货栈
napkin	n. 餐巾（纸）
participate	v. 参与
reference	n. 参考文献；参照物
participant	n. 参加者
spectator	n. 参观者，观众
assumption	n. 假定
rule	v. 裁决，裁定
friction	n. 摩擦
absent	adj. 不在的
disagreement	n. 争论；不一致
awkward	adj. 令人尴尬的
misfortune	n. 不幸，灾祸，灾难
instability	n. 不稳定性
incomplete	adj. 不完全的，未完成的
improper	adj. 不适当的；不合理的
dissatisfaction	n. 不满，不平
inaccurate	adj. 不精密的，不准确的
unreasonable	adj. 不讲道理的；过高的
unfit	adj. 不合适的；无能力的
irregularity	n. 不规则；不整齐
uncertain	adj. 不定的；无常的
mammal	n. 哺乳动物
strength	n. 兵力；强度
icy	adj. 冰冷的；冷冰冰的
objective	n. 目标 adj. 宾格的
superficial	adj. 表面的；肤浅的
heading	n. 标题，题词，题名
reason	v. 论证，推断
advocate	v. 拥护 n. 辩护律师
discrimination	n. 歧视；辨别；识别力
transform	v. 变换
loosen	v. 变松
fall	v. 变成，成为，陷入
program	v. 编制程序
edit	v. 编辑，编纂；校订
diploma	n. 毕业文凭，学位证书
bandage	n. 绷带，包带
breakdown	n. 崩溃，倒塌，失败
essence	n. 本质，本体
reverse	n. 背面，反面
arctic	adj. 北极的 n. 北极
tragic	adj. 悲惨的；悲剧的
firework	n. 爆竹，花炮，烟火
announce	v. 报告…的来到
fortress	n. 堡垒，要塞
saturation	n. 饱和（状态）；浸透
mist	n. 薄雾 v. 下薄雾
chip	n. 薄片，碎片
inclusive	adj. 包括的
siege	n. 包围，围攻，围困
embrace	v. 包括，包含
baseball	n. 棒球运动；棒球
hemisphere	n. 半球
radius	n. 半径距离，半径范围
trigger	n. 扳机 v. 触发，引起
shutter	n. 百叶窗；（相机）快门
lily	n. 百合，百合花
millionaire	n. 百分富翁，巨富
white	adj. 白种（人）的
blond	n. 白肤金发碧眼的人
idiot	n. 白痴；傻子
bank	v. 把钱存入银行
straighten	v. 把…弄直；挺起来
except	v. 把…除外，除去
ballet	n. 芭蕾舞；芭蕾舞剧
burial	n. 安葬，埋葬；埋藏
luxurious	adj. 爱好奢侈的，豪华的
patriot	n. 爱国者，爱国主义者
patriotic	adj. 爱国的
Egyptian	adj. 埃及的 n. 埃及人
pathetic	adj. 哀婉动人的；可怜的
should	v. 应该；竟然会
ought	v. 早应该，本应
scripture	n. 《圣经》；圣书
bureaucracy	n. 官僚主义， 官僚作风； 官僚机构； 官僚制度； 官僚
serial	adj. 连续的， 顺序排列的 n. 连续剧，连载故事
advocate	vt. 拥护， 提倡， 主张 n. 拥护者， 提倡者； 辩护者， 律师
notification	n. 通知， 告示； 通知书
inclusive	adj. 包括一切的， 包括一切费用在内的； 所有数目包括在内的
gown	n. 女礼服， 女裙服； 长袍； 罩衣
massive	adj. 大的， 大而重的； 大块的； 大量的， 大规模的
emotion	n. 情感， 感情； 激动
fundamental	adj. 基础的，基本的 n. 基本原则
promising	adj. 有希望的， 有前途的
rot	v. 腐烂，腐朽 n. 腐烂， 腐朽
invisible	adj. 看不见的， 无形的
adolescent	adj. 青春期的； 青少年的 n. 青少年
norm	n. 标准， 规范； 准则
hustle	v. 催促，赶紧做；猛推，挤，强迫 n. 忙碌， 奔忙； 挤
accumulate	v. 积累， 堆积
sufficient	adj. 足够的， 充分的
demonstrate	vt. 说明， 论证； 表露
genuine	adj. 真的， 真正的； 真诚的
cocktail	n. 鸡尾酒； 餐前开胃小吃； 混合物
possess	vt. 占用， 拥有
colonial	adj. 殖民地的
character	n. 性格， 特性； 性质； 人物， 角色； 符号， 字
bound	adj. 一定的；有义务的 v. 跳跃；弹回，反跃；成为…的界限，给…划界 n. 跳跃； 界限， 限制
guardian	n. 监护人； 守卫者， 保护者
adore	vt. 崇拜， 敬慕； 爱慕， 热爱； 非常喜欢
court	n. 法院， 法庭； 庭院； 宫廷； 球场
enrich	vt. 充实， 使丰富； 使富裕， 使富有
theme	n. 主题， 题目
tract	n. 传单， 小册子； 大片
ridiculous	adj. 荒谬的， 可笑的
leisure	n. 空闲时间； 悠闲
crawl	n&v. 爬行， 蠕动； 缓慢行进
shelter	v. 掩蔽， 躲避， 庇护 n. 掩蔽处，躲避处；掩蔽，保护
reside	vi. 居住， 定居； 存在， 在于
widespread	adj. 分布广泛的， 普遍的
elegant	adj. 优美的， 文雅的， 讲究的； 简练的， 简洁的
rank	vi. 列入， 占特定等级 n. 军衔，职衔；地位，社会阶层；排，行列 vt. 把…分等，给…评定等级
essential	adj. 必要的，本质的 n. 要素； 必需品
